序号,来源页,市场/类别,代码/标记,标的名称,数量,单位,浮盈亏,买入逻辑,识别置信度,识别备注
1,照片1/Page10,B股,B,宝信B,1700,股,-25.93%,B/A交益价；MSCI被动卖出,中,买入逻辑中“交益价”字迹不确定
2,照片1/Page10,A股,A,海尔智家A,1100,股,-18.77%,低估值；出海品牌；受国际战况影响小；高股东回报,高,
3,照片1/Page10,A股,,雅戈尔,2100,股,-1.43%,分红,高,
4,照片1/Page10,A股,,安阳钢铁,400,股,-0.42%,分红；不怕花股增长,中,买入逻辑后半句字迹不确定
5,照片1/Page10,A股,,格力电器,800,股,-11.24%,低估；分红；空调反垄断；市场偏见,高,
6,照片1/Page10,B股,B,古井贡B,600,股,-22.88%,MSCI被动卖出；低估；分红,高,
7,照片1/Page10,港股/H股,H,联想国际H,1000,股,-5.19%,信誉稳定；股息,高,
8,照片1/Page10,A股,,顾家家居,900,股,-22.80%,分红；下行期业绩稳定；也才企稳,中,买入逻辑最后短句字迹不确定
9,照片1/Page10,A股,,安琪酵母,1600,股,+27.53%,国外产能利润释放；全球底部好；糖蜜价格下行改善成本,高,
10,照片2/Page11,A股,A,华域汽车A,1300,股,-24.56%,低估；分红,高,
11,照片2/Page11,A股,A,赛轮轮胎A,1700,股,-26.86%,电车渗透率上升；车重大；轮胎需求大,高,
12,照片2/Page11,A股,A,药明康德A,400,股,+31.13%,行业景气度高；美股退市映射,高,
13,照片2/Page11,港股/H股,H,申洲国际H,1000,股,-8.36%,行业龙头；66延续；代工受益美减税,中,买入逻辑“66延续”字迹不确定
14,照片2/Page11,ETF,,红利ETF易选,76500,份,+7.64%,分红；防守,中,ETF名称后两字字迹不确定
15,照片2/Page11,A股,A,海信家电A,1500,股,+15.42%,低估；股东回报；出海；国补好,高,
16,照片2/Page11,A股,A,中国移动A,800,股,-9.48%,防守；股息；公司事业,中,买入逻辑最后词字迹不确定
17,照片2/Page11,A股,A,云铝股份A,1600,股,-18.07%,铝价回报；电力果水；中国转利电解铝产能,低,买入逻辑多处字迹不确定
18,照片2/Page11,港股/H股,H,中国电信H,16000,股,-18.54%,防守；股息,高,
19,照片3/Page12,A股,A,洛阳钼业A,800,股,-7.70%,铜金价格；利润增长；对外夺电；AI需求刺激,中,买入逻辑中“对外夺电”字迹不确定
20,照片3/Page12,A股,A,紫金矿业A,900,股,-16.42%,同洛阳钼业,高,
21,照片3/Page12,A股,,福耀玻璃,600,股,-18.06%,股东回报；行业龙头；出海,高,
22,照片3/Page12,A股,,美的集团,600,股,+1.582%,股东回报；估值低；出海,高,
23,照片3/Page12,ETF,,红利低波100博时,57800,份,-0.836%,防守；股息,高,
24,照片3/Page12,港股,,康方生物,1000,股,-10.09%,新药席数,中,买入逻辑字迹不确定
25,照片3/Page12,未确认,,PCT智能组,200,股,+110%,股东回报；AI硬件需求；已持续减仓,低,标的名称字迹不确定
26,照片4/Page13,港股/H股,09618/京东H,京东H,250,股,-15%,股东回报,高,
27,照片4/Page13,港股/H股,00883/中国海油H,中国海油H,2000,股,+3%,大幅盈利后的加仓；股东回报,高,
28,照片4/Page13,港股,00747/ZGG,00747 ZGG,7000,股,+5%,股东回报,低,名称仅按原图抄录为ZGG，需确认
29,照片4/Page13,港股/H股,02069/中海物业H,中海物业H,5000,股,-35%,股东回报；地产企稳,高,
30,照片4/Page13,港股,01024/快手,快手,1200,股,+10%,主业低估值；时选可买期权,中,买入逻辑后半句字迹不确定
31,照片4/Page13,港股,01023/时代集团控股,时代集团控股,36000,股,-9%,低估值；业绩反转修复,高,
32,照片4/Page13,港股,02156/建发物业,建发物业,4000,股,-7.61%,股东回报；地产修复,高,
33,照片4/Page13,港股,01995/永升物业,永升物业,10000,股,-16.39%,同上,高,
34,照片4/Page13,港股/H股,03900/绿城中国H,绿城中国H,1000,股,-28.88%,地产修复,高,
35,照片4/Page13,港股,06049/保利物业,保利物业,1200,股,-24.53%,双翼仓；同其他物业,中,买入逻辑“双翼仓”字迹不确定
