rank,ts_code,latest_report_date,cash_like,strict_cash_like,total_liabilities,interest_debt,net_cash_after_all_liab,cash_to_liab,net_cash_to_mv,revenue_latest,revenue_cagr_3y,profit_latest,profit_cagr_3y,profit_positive_years,cfo_latest,cfo_positive_years,cfo_to_profit_latest,oneoff_ratio_latest,dps_latest,div_paid_latest,buyback_latest,shareholder_return_hkd,dps_yield_est,dividend_paid_yield_est,score,flags,name,fullname,market,list_date,price_hkd,total_mv_hkd,float_mv_hkd,turnover_hkd,liquidity_ref_hkd,pb,pe_ttm,pe_dynamic,prefilter_pe,static_exclusion_hint,annual_mmdd,annual_period,financial_source,special_label,watch_score
1,00018.HK,20260331,495204273.4,495204273.4,123751623.15,10646611.1,371452650.25,4.001598207724195,0.5957935597855918,419232606.55,-0.10905748762258283,11788265.45,-0.5675999316909796,4,116075403.06,3,9.846690639291637,2.454947194966669,,154901629.65,,154901629.65,,0.24845533686096744,106.53269695656945,现金类资产>总负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高;股东回报率较高,东方传媒集团,东方传媒集团有限公司,主板,19870818,0.26,623458653.0,623458653.0,0.0,53787.05882352941,0.37,46.7,46.7,46.7,PE偏高,0331,FY-03-31,cache,可复核,70.65087831122841
2,00922.HK,20250331,304260742.32,294498123.75,285991476.81,41148066.87,18269265.50999999,1.0638804544589182,0.07615137830715175,218183774.07,-0.047123485295166856,47136310.74,-0.07369395131137413,4,66863647.65,4,1.4185167782606993,0.11962097184697912,,37352467.08,,37352467.08,,0.1556954684225022,104.80707377086932,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,安贤园中国,安贤园中国控股有限公司,主板,19991221,0.108,239907220.54054052,239907220.54054052,0.0,173502.2,0.2627027027027027,8.669189189189188,8.669189189189188,8.669189189189188,低PB高分红旁路,0331,FY-03-31,cache,可复核,64.1398478401176
3,00681.HK,20251231,902183000.0,902183000.0,578440000.0,69460000.0,323743000.0,1.559682940322246,1.1688679880293917,2286332000.0,-0.07273896383875667,-163910000.0,,2,196627000.0,4,,-0.08241107925080837,,24795000.0,,24795000.0,,0.08952187927828174,103.63274451775521,现金类资产>总负债;经营现金流稳定;股东回报率较高,中民控股,中民控股有限公司,主板,19970424,0.031,276971397.38235295,276971397.38235295,0.0,383511.2153,0.1094117647058823,-1.5226470588235297,-1.5226470588235297,-1.5226470588235297,负PE/亏损口径,1231,FY-12-31,cache,反转观察,58.736440564867365
4,01008.HK,20251231,360339619.0,360339619.0,337116026.36,136112544.34,23223592.639999986,1.068889019874718,0.084640311495557,502668123.38,-0.1537289960873668,1333152.72,-0.37806959606671753,3,69858647.68,4,52.401084010840115,-6.5453929539295395,,28323172.76,,28323172.76,,0.10322615463121025,95.00070180970256,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,力图控股,力图控股有限公司,主板,20090330,0.175,274379810.6321839,274379810.6321839,7000.0,133877.0909090909,0.1307471264367815,185.89224137931035,185.89224137931035,185.89224137931035,PE偏高,1231,FY-12-31,cache,可复核,54.91487272824334
5,03818.HK,20250331,4791885000.0,3408648000.0,832421000.0,47219000.0,3959464000.0,5.756564286580949,2.2388549343849125,1680135000.0,-0.04279950379783948,207000000.0,,2,141647000.0,3,0.6842850241545894,1.5616618357487924,,112012000.0,,112012000.0,,0.06333650688838763,91.475232259753,现金类资产>总负债;经营现金流稳定;一次性/其他收益占比较高;股东回报率较高,中国动向,中国动向(集团)有限公司,主板,20071010,0.3,1768521907.8688524,1768521907.8688524,0.0,1639832.25,0.1770491803278688,5.980327868852459,5.980327868852459,5.980327868852459,低PB高分红旁路,0331,FY-03-31,cache,谨慎观察,53.32863729889338
6,01023.HK,20250630,398880546.35,398880546.35,284684343.45,15637206.65,114196202.90000004,1.401132712519741,0.25714201443916185,1444747668.0,-0.029097319467123017,-162394584.3,,3,77221190.15,3,,0.09732470770578522,,52678791.75,2392044.85,55070836.6,,0.1240061009084035,94.16676456391251,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,时代集团控股,时代集团控股有限公司,主板,20111206,0.46,444097800.00000006,444097800.00000006,0.0,191232.22222222225,0.2808421052631579,-4.5806315789473695,-4.5806315789473695,-4.5806315789473695,负PE/亏损口径,0630,FY-06-30,cache,反转观察,51.12458128630119
7,01170.HK,20250331,325476604.02,325476604.02,297734488.56,4040149.74,27742115.45999998,1.0931773661633066,0.09387963579060359,577577149.08,-0.054548693245125346,-31274708.7,,2,3719927.73,3,,0.8379167896134553,,55821063.87,11647960.26,67469024.13,,0.2283159487820778,72.1242652882277,现金类资产>总负债;经营现金流稳定;一次性/其他收益占比较高;股东回报率较高,信星集团,信星鞋业集团有限公司,主板,19940929,0.44,295507276.1666667,295507276.1666667,0.0,104859.0,0.2841666666666667,-10.7525,-10.7525,-10.7525,负PE/亏损口径,0331,FY-03-31,cache,反转观察,49.70552927733856
8,00829.HK,20251231,534126000.0,533845000.0,638303000.0,405856000.0,-104177000.0,0.8367906777815551,-0.2054022221777064,1023274000.0,-0.0028763748793052546,-69773000.0,,3,-88461000.0,2,,0.48836942656901666,,118328000.0,,118328000.0,,0.23330326411629862,66.91536352639649,现金类资产>有息负债;近年盈利稳定;股东回报率较高,神冠控股,神冠控股(集团)有限公司,主板,20091013,0.157,507185360.0,507185360.0,0.0,86307.55555555556,0.214090909090909,-6.565454545454545,-6.565454545454545,-6.565454545454545,负PE/亏损口径,1231,FY-12-31,cache,谨慎观察,43.22565979414473
9,00543.HK,20251231,228138000.0,202735000.0,246880000.0,579000.0,-18742000.0,0.9240845755022683,-0.06601633853304267,646967000.0,-0.07359485932219478,4923000.0,,2,-7410000.0,2,-1.5051797684338817,1.8553727401990656,,51095000.0,303000.0,51398000.0,,0.18104299263266072,53.57726094251214,现金类资产>有息负债;一次性/其他收益占比较高;股东回报率较高,太平洋网络,太平洋网络有限公司,主板,20071218,0.25,283899416.6666666,283899416.6666666,0.0,60411.22083333333,0.3981481481481481,52.08333333333333,52.08333333333333,52.08333333333333,PE偏高,1231,FY-12-31,cache,现金流待验证,40.901615156644546
10,01900.HK,20251231,802754000.0,699435000.0,998094000.0,283468000.0,-195340000.0,0.8042869709666625,-0.5185273812921775,927849000.0,0.09103937121050776,70488000.0,0.13280285449919682,4,283378000.0,3,4.0202303938259,5.950956191124731,,41346000.0,,41346000.0,,0.10975239636995172,74.76250337769454,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高;股东回报率较高,中国智能交通,中国智能交通系统(控股)有限公司,主板,20100715,0.219,376720703.76150626,376720703.76150626,0.0,52505.57894736842,0.1832635983263597,4.828995815899582,4.828995815899582,4.828995815899582,低PB高分红旁路,1231,FY-12-31,cache,可复核,36.553628593781966
