ts_code,name,years,profit_last,profit_4y_positive,cfo_4y_positive,div_paid_years,div_paid_last,div_paid_avg4,buyback_last,payout_vs_profit_last,oneoff_vs_profit_last,div_yield_last_est,score
01451.HK,万成集团股份,"20221231,20231231,20241231,20251231",23940749.32,4,4,3,36526216.8,25678045.599999998,,1.5256922960839054,-0.034143212857466236,0.1701901817165222,139.4505662106965
00327.HK,百富环球,"20221231,20231231,20241231,20251231",680654850.14,4,4,4,478576536.32,412050733.84,8944587.66,0.7031119167395403,0.04366980852907495,0.1319282905311015,129.62310641831155
01502.HK,金融街物业,"20221231,20231231,20241231,20251231",107350000.0,4,4,4,72799000.0,73391000.0,,0.6781462505822077,-0.17024685607824872,0.0974551539491298,128.21916565627254
06826.HK,昊海生物科技,"20221231,20231231,20241231,20251231",251009000.0,4,4,4,282277000.0,193210250.0,148623000.0,1.1245692385531993,0.8133493221358596,0.1194157995183352,126.27418703596486
00623.HK,中视金桥,"20221231,20231231,20241231,20251231",80043000.0,4,3,4,149920000.0,63264500.0,717000.0,1.8729932661194608,0.057144284946841074,0.1677506786487521,126.23819698299953
01180.HK,汇彩控股,"20221231,20231231,20241231,20251231",127840855.58,3,3,2,179458072.14,114088055.25,,1.4037615074290477,0.18611124848981553,0.2304830763851172,123.59561803034195
03315.HK,金邦达宝嘉,"20221231,20231231,20241231,20251231",40116000.0,4,4,4,40172000.0,96801250.0,3110000.0,1.0013959517399542,-0.12628377704656496,0.0778448505115202,121.82722062972272
01778.HK,彩生活,"20221231,20231231,20241231,20251231",23987000.0,4,4,4,17249000.0,15554500.0,,0.7190978446658607,-0.5924459082002751,0.0587127374092714,121.25254644419329
02469.HK,粉笔,"20221231,20231231,20241231,20251231",198126000.0,3,3,0,,,152295000.0,,0.058149864227814624,0.1549463768584849,120.5243590609741
00239.HK,白花油,"20221231,20231231,20241231,20251231",82505534.12,4,4,4,52086890.96,44774153.3625,,0.631313905370788,-0.017362555557988307,0.0702260566760396,119.59907080838806
01425.HK,捷隆控股,"20221231,20231231,20241231,20251231",150611031.78,4,4,4,63225400.0,58771834.375,,0.41979262244451243,0.04645305219221704,0.0802862222222222,119.49258992060732
01669.HK,环球信贷集团,"20221231,20231231,20241231,20251231",47177890.26,4,3,4,43354560.0,24824893.0,,0.9189592786169664,0.14044760974862636,0.0774188571428571,119.31100487462513
01666.HK,同仁堂科技,"20221231,20231231,20241231,20251231",396277000.0,4,4,4,475574000.0,457979250.0,,1.2001049770741175,-0.00885239365393399,0.1149581291675567,118.687654817591
02348.HK,东瑞制药,"20221231,20231231,20241231,20251231",213971000.0,4,4,4,132910000.0,115182500.0,,0.6211589420996303,0.2782059251019998,0.0848766957649855,117.99148351622402
00046.HK,科联系统,"20221231,20231231,20241231,20251231",16658989.68,4,4,4,24141264.16,31971230.267500002,,1.449143352851876,-0.6912817176317502,0.0796808091882648,117.90511662294772
03686.HK,祈福生活服务,"20221231,20231231,20241231,20251231",284629000.0,4,4,4,104942000.0,123219000.0,,0.3686974974440412,0.7311306999638125,0.1455137915853476,117.01035896375332
03662.HK,星悦康旅,"20221231,20231231,20241231,20251231",51568000.0,4,3,3,19448000.0,7705666.666666667,,0.3771331058020478,-0.12835479367049332,0.08368330464716,116.28288640545452
06100.HK,同道猎聘,"20221231,20231231,20241231,20251231",102600000.0,4,4,4,73480000.0,51586000.0,78191000.0,0.7161793372319688,0.8900584795321638,0.1384308848839205,114.2431030091198
03658.HK,新希望服务,"20221231,20231231,20241231,20251231",216075000.0,4,4,4,166181000.0,146381000.0,,0.769089436538239,0.0,0.112154926581686,109.492136414252
06929.HK,业聚医疗,"20221231,20231231,20241231,20251231",294499691.2,4,4,2,186607611.2,131456238.6,2164870.4,0.6336428077042411,0.010811713883386238,0.05757444632678,109.2123778645176
01260.HK,皓天财经集团,,,0,0,0,,,,,,0.0,107.7918782124036
00934.HK,中石化冠德,"20221231,20231231,20241231,20251231",928745900.42,4,4,4,561387358.8,519195562.285,,0.6044574286100514,0.07327711544053504,0.0620343406593406,107.79071010238115
02219.HK,朝聚眼科,"20221231,20231231,20241231,20251231",183445000.0,4,4,4,75981000.0,129534250.0,4479000.0,0.4141895390989125,0.4024312464226335,0.046007438360954,107.5976148407594
01731.HK,其利工业集团,"20221231,20231231,20241231,20251231",172521896.0,4,4,4,70203654.4,49766035.6,,0.40692605418618866,0.21079649623141172,0.074621231292517,107.38218357887511
02283.HK,东江集团控股,"20221231,20231231,20241231,20251231",196901960.0,4,4,4,173854495.26,127672710.4725,,0.8829495412844036,-0.032270642201834863,0.1043218774812183,107.36122276529
